"","Therapy","cardiac serious (0)","cardiac total (0)","vascular serious (0)","vascular total (0)","cardiac serious (dose)","cardiac total (dose)","vascular serious (dose)","vascular total (dose)","cardiac serious (dose)-1","cardiac total (dose)-1","vascular serious (dose)-1","vascular total (dose)-1","cardiac serious (dose)-2","cardiac total (dose)-2","vascular serious (dose)-2","vascular total (dose)-2","cardiac serious (dose)-2gen","cardiac total (dose)-2gen","vascular serious (dose)-2gen","vascular total (dose)-2gen","cardiac serious (dose)-1gen","cardiac total (dose)-1gen","vascular serious (dose)-1gen","vascular total (dose)-1gen","cardiac serious (antiangio)","cardiac serious (MET)","cardiac serious (IGF-1R)","cardiac total (antiangio)","cardiac total (MET)","cardiac total (IGF-1R)","vascular serious (antiangio)","vascular serious (MET)","vascular serious (IGF-1R)","vascular total (antiangio)","vascular total (MET)","vascular total (IGF-1R)","Serious Cardiac","Serious Cardiac (Gen)","Total Cardiac","Total Cardiac (Gen)","Serious Vascular","Serious Vascular (Gen)","Total Vascular","Total Vascular (Gen)","Serious Arrhythmias","Serious Arrhythmias (Gen)","Total Arrhythmias","Total Arrhythmias (Gen)","Serious Heart Failure","Serious Heart Failure (Gen)","Total Heart Failure","Total Heart Failure (Gen)","Serious Vascular Toxicity","Serious Vascular Toxicity (Gen)","Total Vascular Toxicity","Total Vascular Toxicity (Gen)","Serious Hypertension","Serious Hypertension (Gen)","Total Hypertension","Total Hypertension (Gen)","cardiac serious (0)-gen","cardiac total (0)-gen","vascular serious (0)-gen","vascular total (0)-gen","cardiac serious (dose)-gen","cardiac total (dose)-gen","vascular serious (dose)-gen","vascular total (dose)-gen","Total Hypertension (funnel)","Total Vascular (funnel)","Serious Cardiac (G-E)","Serious Cardiac (G-E)-Gen","Total Cardiac (G-E)","Total Cardiac (G-E)-Gen","Serious Vascular (G-E)","Serious Vascular (G-E)-Gen","Total Vascular (G-E)","Total Vascular (G-E)-Gen"
"51","1st-generation EGFR TKIs + Autophagy inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.52 (0.58 to   11.03)","0.29 (0.01 to   10.85)","0.25 (0.06 to   1.10)",NA,"2.52 (0.58 to   11.03)","0.29 (0.01 to   10.85)","0.25 (0.06 to    1.10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.52 (0.58 to   11.03)",NA,"0.27 (0.01 to   10.33)",NA,"0.24 (0.05 to    1.14)",NA,NA,NA,"2.51 (0.37 to   16.95)",NA,NA,NA,NA,NA,"0.27 (0.01 to    7.11)",NA,"0.11 (0.01 to    2.51)",NA,NA,NA,"0.42 (0.10 to   1.76)","1.08 (0.02 to   57.48)","2.51 (0.57 to   10.97)","0.29 (0.01 to   10.56)","0.25 (0.06 to   1.08)",NA,"2.52 (0.58 to   11.03)","0.29 (0.01 to   10.85)","0.25 (0.06 to    1.10)",NA,NA,NA,NA,NA,"2.69 (0.61 to   11.79)",NA,"0.27 (0.01 to   10.41)",NA,"0.24 (0.05 to    1.15)"
"52","Osimertinib + PD-L1 inhibitor","1.99 (0.03 to   114.02)","0.63 (0.03 to   14.89)","1.31 (0.02 to    96.69)","0.52 (0.05 to    5.62)",NA,"0.63 (0.03 to   14.91)",NA,"0.52 (0.05 to    5.66)",NA,"0.63 (0.03 to   14.91)",NA,"0.52 (0.05 to    5.66)",NA,"0.63 (0.03 to   14.91)",NA,"0.52 (0.05 to   5.66)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.63 (0.03 to   14.91)",NA,NA,NA,"0.52 (0.05 to    5.65)",NA,NA,NA,"0.83 (0.03 to   20.23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.29 (0.01 to    9.99)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.28 (0.01 to    8.96)","0.49 ( 0.06 to   4.23)",NA,NA,"0.63 (0.03 to   14.91)",NA,NA,NA,"0.52 (0.05 to    5.65)",NA
"53","Chemotherapy + antiangiogenesis","1.44 (0.03 to    78.35)","0.22 (0.01 to    4.18)","0.95 (0.01 to    66.65)","0.98 (0.02 to   59.52)",NA,"0.22 (0.01 to    4.19)",NA,NA,NA,"0.22 (0.01 to    4.19)",NA,NA,NA,"0.22 (0.01 to    4.19)",NA,NA,NA,"0.19 (0.01 to    3.55)",NA,NA,NA,"0.19 (0.01 to    3.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.22 (0.01 to    4.19)","0.19 (0.01 to    3.55)",NA,NA,NA,NA,NA,NA,"0.29 (0.01 to    5.69)","0.28 (0.01 to    5.46)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.73 (0.03 to   91.74)","0.19 (0.01 to    3.54)","1.29 (0.02 to   92.88)","1.32 (0.02 to  78.56)",NA,"0.19 (0.01 to    3.55)",NA,NA,NA,NA,NA,NA,"0.22 (0.01 to    4.19)","0.17 (0.01 to    3.32)",NA,NA,NA,NA
"54","3rd-generation EGFR TKIs + PD-L1 inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.54 (0.02 to   12.67)",NA,"0.71 (0.07 to   7.42)",NA,"0.54 (0.02 to   12.67)",NA,"0.71 (0.07 to    7.42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.54 (0.02 to   12.67)",NA,NA,NA,"0.92 (0.08 to   10.21)",NA,NA,NA,"0.81 (0.03 to   19.42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.37 (0.01 to  11.67)","2.38 (0.04 to  133.55)","0.54 (0.02 to   12.62)","1.79 (0.02 to  134.72)","0.70 (0.07 to   7.31)",NA,"0.54 (0.02 to   12.67)",NA,"0.71 (0.07 to    7.42)",NA,NA,NA,NA,NA,"0.51 (0.02 to   11.82)",NA,NA,NA,"0.95 (0.08 to   10.80)"
"55","Befotertinib","8.56 (0.06 to  1230.68)","10.16 (0.47 to  221.32)",NA,NA,NA,"10.20 (0.47 to  223.40)",NA,NA,NA,"10.20 (0.47 to  223.40)",NA,NA,NA,"10.20 (0.47 to  223.40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.20 (0.47 to  223.40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.20 (0.47 to  223.40)",NA,NA,NA,NA,NA
"56","Gefitinib + ER inhibitor","1.14 (0.04 to    35.53)","1.25 (0.04 to   38.85)",NA,"4.04 (1.21 to   13.44)",NA,NA,NA,"4.05 (1.21 to   13.59)",NA,NA,NA,"4.05 (1.21 to   13.59)",NA,NA,NA,"4.05 (1.21 to  13.59)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.05 (1.21 to   13.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.52 (1.31 to     9.49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.67 ( 1.51 to   8.89)",NA,NA,NA,NA,NA,NA,"4.05 (1.21 to   13.55)",NA
"57","Erlotinib + Ramucirumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.79 (0.96 to  369.63)",NA,NA,"3.33 (0.91 to   12.27)",NA,NA,"1.45 (0.15 to   14.15)",NA,NA,"4.96 (1.33 to   18.55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Vandetanib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.75 (1.91 to   17.33)",NA,NA,"7.04 (2.40 to   20.64)",NA,NA,"0.98 (0.17 to    5.72)",NA,NA,"3.85 (1.21 to   12.27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Cabozantinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.44 (0.48 to  229.36)",NA,NA,"27.60 (1.37 to  557.60)",NA,NA,"37.25 (1.23 to 1129.50)",NA,NA,"8.14 (1.60 to   41.29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Osimertinib + Bevacizumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.12 (0.86 to   30.59)",NA,NA,"7.78 (3.18 to   19.00)",NA,NA,"1.87 (0.25 to   13.97)",NA,NA,"7.53 (1.73 to   32.76)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Erlotinib + Sunitinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.99 (0.67 to    5.94)",NA,NA,"1.41 (0.58 to    3.42)",NA,NA,"0.53 (0.09 to    3.01)",NA,NA,"1.27 (0.41 to    3.87)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Erlotinib + Bevacizumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.38 (0.52 to    3.64)",NA,NA,"1.38 (0.54 to    3.54)",NA,NA,"3.61 (0.99 to   13.15)",NA,NA,"5.04 (2.04 to   12.41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Erlotinib + IGF-1R inhibitor(9mg/kg)",NA,NA,NA,NA,"13.11 (0.67 to  255.16)","14.91 (0.77 to  289.38)","4.87 (0.16 to   148.25)","14.08 (0.65 to  307.04)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Erlotinib + HER3 inhibitor(18mg/kg)",NA,NA,NA,NA,"3.84 (0.80 to   18.42)","4.37 (0.92 to   20.83)","0.72 (0.08 to     6.84)","0.75 (0.11 to    5.28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Rociletinib(625mg)",NA,NA,NA,NA,"2.89 (0.49 to   17.02)","8.61 (2.77 to   26.75)","0.55 (0.02 to    19.43)","0.56 (0.02 to   16.86)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.67 (0.46 to   15.41)","9.79 (3.32 to   28.89)","0.48 (0.01 to   18.09)","0.52 (0.02 to   15.62)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Erlotinib + IGF-1R inhibitor(16mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,"3.45 (0.13 to   90.46)","3.92 (0.15 to  102.62)","5.04 (0.17 to   153.64)","7.44 (0.31 to  175.97)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Erlotinib + HER3 inhibitor(9mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,"1.66 (0.29 to    9.50)","1.89 (0.33 to   10.75)","0.42 (0.04 to     4.95)","0.43 (0.05 to    3.94)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Rociletinib(500mg)",NA,NA,NA,NA,NA,NA,NA,NA,"0.58 (0.03 to   13.29)","5.26 (1.52 to   18.21)","0.85 (0.02 to    30.69)","0.88 (0.03 to   26.64)",NA,NA,NA,NA,NA,NA,NA,NA,"0.54 (0.02 to   12.14)","5.98 (1.81 to   19.76)","0.76 (0.02 to   28.57)","0.82 (0.03 to   24.69)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.18 (0.12 to   82.64)","4.46 (0.17 to  114.66)","4.48 (0.14 to  143.37)","6.88 (0.29 to  163.13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1st-generation EGFR TKIs + HER3 inhibitor(9mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.54 (0.27 to    8.59)","2.15 (0.39 to   11.82)","0.37 (0.03 to    4.70)","0.40 (0.04 to    3.65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1st-generation EGFR TKIs + IGF-1R inhibitor(9mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.11 (0.63 to  232.87)","16.96 (0.89 to  322.78)","4.32 (0.14 to  138.33)","13.02 (0.60 to  284.65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1st-generation EGFR TKIs + HER3 inhibitor(18mg/kg)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.55 (0.76 to   16.63)","4.97 (1.08 to   22.83)","0.64 (0.06 to    6.54)","0.69 (0.10 to    4.90)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Erlotinib + Teprotumumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.02 (0.45 to 179.49)",NA,NA,"9.02 (0.45 to 179.49)",NA,NA,"2.55 (0.12 to  51.88)",NA,NA,"6.89 (0.38 to 125.50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Erlotinib + Figitumumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.58 (0.45 to   5.49)",NA,NA,"1.21 (0.46 to   3.15)",NA,NA,"1.28 (0.25 to   6.63)",NA,NA,"1.90 (0.88 to   4.08)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Erlotinib + Tivantinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29 (0.44 to  3.78)",NA,NA,"1.36 (0.12 to 15.11)",NA,NA,"0.67 (0.29 to  1.55)",NA,NA,"0.76 (0.36 to  1.59)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Erlotinib + Onartuzumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06 (0.31 to  3.64)",NA,NA,"1.06 (0.31 to  3.64)",NA,NA,"1.79 (0.68 to  4.72)",NA,NA,"1.92 (0.84 to  4.40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Erlotinib + Cabozantinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.80 (0.17 to  133.79)",NA,NA,"5.88 (0.17 to  200.08)",NA,NA,"4.68 (0.93 to   23.57)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gefitinib + Apatinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.49 (2.69 to  322.96)",NA,NA,"9.43 (1.82 to   48.85)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Gefitinib + Bevacizumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.29 (0.44 to 1023.15)",NA,NA,"73.60 (1.81 to 2993.29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Erlotinib + Sorafenib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.52 (0.11 to  114.04)",NA,NA,"6.83 (0.84 to   55.46)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Erlotinib + Pazopanib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.45 (0.11 to   19.73)",NA,NA,"1.61 (0.18 to   14.63)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Erlotinib + Linsitinib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.75 (0.07 to  46.70)",NA,NA,"2.15 (0.08 to  55.34)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Erlotinib + Emibetuzumab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.57 (0.05 to  6.13)",NA,NA,"0.69 (0.07 to  7.30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
