"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + HER3 inhibitor",1,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + IGF-1R inhibitor",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + MET inhibitor",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + MMP inhibitor",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + PARP inhibitor",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + antiangiogenesis",5,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:1st-generation EGFR TKIs + chemotherapy",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:2nd-generation EGFR TKIs",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs",3,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:Antiangiogenesis",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:Chemotherapy",2,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:Placebo",4,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Chemotherapy",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Placebo",1,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:3rd-generation EGFR TKIs + Amivantamab",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Chemotherapy",1,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Placebo",2,"No concerns","Low risk","No concerns","Major concerns","No concerns","Major concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + HER3 inhibitor",0,"No concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + HER3 inhibitor",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:2nd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:3rd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","Some concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + HER3 inhibitor:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + IGF-1R inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + MET inhibitor",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + MMP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:3rd-generation EGFR TKIs + Amivantamab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MMP inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + PARP inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + PARP inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
